IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARC,214.44,68.12,-94.66,69.09,Arctic Village,27%,71%,98%,91%,90%,33%,83%,61%,17%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
INK,226.23,68.41,-84.02,71.51,Inuvik,0%,0%,0%,0%,0%,0%,18%,84%,86%,72%,95%,91%,89%,75%,65%,17%,79%,49%,30%,0%
BET,208.45,66.9,-98.69,66.83,Bettles,60%,32%,96%,100%,96%,85%,79%,82%,99%,53%,9%,25%,0%,0%,0%,0%,0%,0%,0%,0%
FYU,214.78,66.56,-93.05,67.58,Fort Yukon,60%,91%,89%,97%,89%,62%,54%,84%,93%,85%,41%,67%,96%,78%,35%,62%,11%,41%,92%,38%
EAG,218.84,64.78,-88.07,66.53,Eagle,77%,87%,89%,87%,93%,90%,72%,88%,97%,31%,67%,39%,0%,15%,100%,70%,0%,0%,0%,92%
CMO,212.14,64.87,-94.1,65.38,College,100%,99%,100%,100%,100%,99%,100%,98%,100%,100%,99%,100%,100%,100%,100%,99%,100%,100%,100%,97%
CGO,212.14,64.87,-94.1,65.38,College Intl Geophys Observatory,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
GAK,214.87,62.39,-90.14,63.34,Gakona,51%,66%,76%,73%,81%,77%,75%,49%,51%,71%,86%,30%,89%,40%,0%,0%,0%,9%,60%,0%
TLK,209.9,63.3,-95.01,63.36,Talkeetna,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CPY,235.3,70.2,-76.35,74.86,Cape Perry,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PKR,212.57,65.12,-93.9,65.72,Poker Flat,63%,75%,73%,88%,56%,62%,61%,37%,77%,58%,0%,81%,78%,56%,19%,71%,39%,50%,61%,39%
DIK,80.7,73.53,156.63,69.24,Dixon,98%,45%,0%,0%,1%,87%,21%,0%,0%,1%,64%,85%,95%,97%,95%,79%,74%,92%,63%,69%
CCS,104.28,77.72,176.45,72.67,Chelyuskin,81%,0%,30%,89%,88%,79%,88%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TIK,128.92,71.59,-161.53,66.6,Tixie,65%,83%,88%,98%,99%,94%,90%,89%,85%,100%,43%,90%,99%,100%,87%,97%,96%,99%,99%,99%
CWE,190.17,66.17,-112.37,63.38,Wellen,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ARK,40.5,64.6,117.58,61.2,Arkhangelsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AAE,38.77,9.03,111.35,0.01,Addis Ababa,0%,82%,99%,99%,91%,96%,96%,98%,95%,98%,95%,100%,100%,93%,86%,47%,0%,0%,0%,0%
ABG,72.87,18.62,146.07,12.01,Alibag,96%,90%,85%,92%,95%,89%,93%,100%,99%,100%,100%,100%,100%,98%,71%,80%,91%,98%,94%,88%
AMS,77.57,-37.8,139.98,-48.93,Martin de Vivias,99%,100%,99%,98%,95%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,95%,92%,100%,94%,90%
API,188.22,-13.8,-96.63,-15.52,Apia,84%,91%,92%,78%,89%,75%,88%,48%,55%,82%,83%,63%,89%,93%,99%,98%,99%,99%,98%,97%
ASP,133.88,-23.77,-152.08,-33.75,Alice Springs,100%,99%,100%,100%,99%,100%,99%,98%,97%,95%,94%,98%,100%,100%,100%,100%,100%,99%,100%,100%
BMT,116.2,40.3,-170.2,34.69,Beijing Ming Tombs,100%,99%,98%,100%,99%,100%,93%,100%,100%,98%,99%,99%,99%,100%,98%,98%,98%,97%,98%,99%
BNG,18.57,4.33,91.02,-9.37,Bangui,99%,96%,95%,84%,75%,58%,99%,97%,69%,74%,53%,38%,0%,0%,0%,0%,0%,0%,0%,0%
BSL,270.36,30.35,-18.13,40.78,Bay St Louis,99%,97%,100%,100%,100%,66%,0%,93%,99%,99%,100%,99%,100%,97%,100%,100%,99%,100%,99%,89%
CNB,150.7,-34.1,-131.25,-43.6,Canberra,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
CAN,149.36,-35.31,-132.48,-45.09,Canberra,0%,0%,0%,63%,39%,0%,0%,93%,95%,76%,4%,46%,99%,95%,20%,0%,0%,0%,0%,0%
CZT,51.87,-46.43,107.18,-53.23,Port Alfred,100%,100%,100%,99%,97%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,95%,98%,91%,27%,67%
DLR,259.08,29.49,-32.39,38.47,Del Rio,99%,98%,99%,99%,97%,100%,100%,88%,0%,47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DRV,140.01,-66.67,-123.2,-80.58,Dumont Durville,99%,99%,98%,89%,97%,96%,95%,99%,100%,98%,100%,100%,100%,100%,100%,98%,100%,99%,100%,89%
EYR,172.4,-43.4,-102.88,-49.93,Eyrewell,100%,100%,100%,100%,99%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,98%,78%,0%,96%,99%
GNA,116,-31.8,-172.02,-43.66,Gnangara,95%,98%,99%,96%,96%,94%,97%,99%,100%,99%,100%,100%,100%,8%,0%,0%,0%,0%,0%,0%
GUA,144.87,13.59,-143.28,5.75,Guam,86%,99%,98%,99%,100%,100%,97%,99%,99%,100%,97%,100%,100%,99%,100%,100%,100%,98%,98%,99%
GUI,343.57,28.32,60.89,16.29,Guimar,90%,86%,95%,97%,98%,84%,93%,100%,100%,100%,100%,100%,85%,93%,69%,75%,97%,91%,72%,97%
HBK,27.71,-25.88,96.16,-35.59,Hartebeesthoek,99%,89%,79%,98%,84%,98%,93%,90%,82%,80%,98%,90%,99%,90%,100%,96%,94%,98%,98%,98%
HER,19.23,-34.43,83.86,-42.13,Hermanus,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,92%,100%,100%,99%,100%,100%,100%,100%,100%
HLP,18.82,54.61,95.24,50.9,Hel,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,98%,99%,100%,100%,100%
HON,202,21.32,-89.27,20.97,Honolulu,97%,98%,100%,99%,100%,97%,100%,98%,100%,100%,98%,96%,99%,100%,100%,100%,100%,96%,100%,99%
HRB,18.19,47.86,92.95,42.94,Hurbanovo,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,100%,99%,99%,100%
IQA,291.48,63.75,15.43,72.25,Iqaluit,100%,100%,100%,100%,100%,72%,98%,97%,95%,100%,86%,96%,99%,100%,100%,90%,93%,91%,98%,100%
IRT,104.45,52.17,178.27,47.73,Irkutsk,100%,100%,100%,98%,89%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,99%,91%,100%
ISK,29.06,41.07,101.94,35.35,Kandilli,0%,72%,72%,90%,79%,87%,78%,55%,92%,87%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
KAK,140.18,36.23,-147.23,29.16,Kakioka,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
KOU,307.27,5.21,24.29,8.79,Kourou,91%,82%,98%,99%,94%,96%,92%,94%,100%,100%,100%,100%,98%,98%,96%,100%,98%,100%,100%,97%
LNP,121.17,25,-166.08,18.18,Lunping,98%,98%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MBO,343.03,14.38,58.31,1.3,Mbour,100%,100%,100%,91%,100%,94%,100%,99%,98%,95%,99%,83%,98%,92%,100%,99%,100%,99%,58%,48%
MMB,144.19,43.91,-143.51,37.09,Memambetsu,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
NCK,16.72,47.63,91.6,42.63,Nagycenk,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,92%,68%,97%,97%,98%
MZH,117.4,49.6,-168.69,44.49,Manzaoli,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PAF,70.26,-49.35,123.39,-58.62,Port aux Francias,100%,99%,98%,100%,100%,100%,67%,99%,97%,100%,100%,99%,100%,100%,100%,93%,100%,100%,99%,23%
PHU,105.95,21.03,178.6,14.12,Phuthuy,96%,94%,99%,79%,98%,85%,96%,97%,99%,97%,60%,72%,71%,45%,63%,38%,53%,98%,48%,90%
PPT,210.42,-17.57,-73.87,-16.32,Pamatai,99%,88%,98%,99%,98%,100%,100%,95%,99%,97%,99%,100%,100%,100%,100%,92%,99%,99%,98%,92%
SBA,166.78,-77.85,-31.55,-79.93,Scott Base,99%,99%,97%,96%,99%,98%,99%,100%,99%,100%,100%,100%,100%,98%,97%,99%,99%,100%,98%,99%
SJG,293.85,18.11,11.64,26.89,San Juan,72%,98%,100%,96%,100%,99%,99%,99%,100%,99%,100%,100%,100%,99%,100%,100%,100%,0%,100%,99%
SPT,355.65,39.55,72.17,31.44,San Pablo Toledo,100%,100%,100%,100%,100%,100%,98%,100%,97%,96%,99%,100%,100%,100%,100%,100%,95%,100%,0%,76%
SUA,26.25,45.32,99.83,40.19,Surlari,96%,96%,99%,94%,90%,49%,48%,59%,98%,99%,96%,98%,99%,0%,100%,96%,99%,99%,99%,97%
TAM,5.53,22.79,78.84,9.18,Tamanrasset,98%,100%,100%,99%,98%,64%,100%,98%,98%,96%,89%,99%,0%,100%,100%,100%,100%,98%,98%,96%
TAN,47.55,-18.92,117.63,-28.44,Antananarivo,97%,94%,89%,86%,87%,90%,27%,72%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TUC,249.27,32.17,-44.18,39.4,Tucson,97%,98%,97%,99%,96%,98%,94%,96%,98%,99%,100%,97%,100%,100%,98%,90%,99%,99%,100%,97%
VSS,316.35,-22.4,23.61,-18.46,Vassouras,90%,94%,80%,98%,99%,100%,97%,97%,95%,74%,98%,98%,62%,97%,99%,90%,89%,99%,96%,91%
KIV,30.3,50.72,104.53,46.54,Kiev,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,97%,94%,99%,65%,80%,92%,100%,79%
LNN,30.7,59.95,107.29,56.55,Leningrad,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NKK,62.12,45.77,135.16,41.71,Novokazalinsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MNK,26.52,54.1,101.86,50.27,Minsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ODE,30.88,46.22,104.32,41.46,Odessa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,76%,0%,0%,0%,0%,0%,0%
TUL,264.22,35.92,-26.33,45.73,Tulsa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ASH,58.1,37.95,131.03,33.38,Ashkabad,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TOL,355.95,39.88,72.47,31.92,Toledo,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NVS,82.9,55.03,156.39,51.19,Novosibirsk,0%,0%,0%,48%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%
KGD,73.08,49.82,146.28,45.87,Karaganda,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AAA,76.92,43.25,150.07,38.8,Alma Ata,0%,0%,0%,0%,0%,98%,98%,94%,93%,91%,97%,94%,93%,94%,96%,72%,96%,95%,98%,99%
TKT,69.62,41.33,142.72,36.89,Tashkent,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LVV,23.75,49.9,98.38,45.48,Lvov,0%,0%,0%,99%,100%,100%,99%,96%,97%,100%,100%,99%,94%,97%,95%,83%,52%,66%,90%,98%
RSV,12.45,55.85,90.23,52.48,Rude Skov,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MOS,37.32,55.48,112,51.79,Moscow,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,99%,98%,100%,99%,99%,98%,100%,0%,0%,0%
YSS,142.72,46.95,-144.86,40.37,Yuzhno Sakhalinsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HIS,58.05,80.62,143.68,76.01,Heiss Island,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ZGN,123.26,66.75,-164.74,61.91,Zhigansk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,19%,50%,0%,0%,0%,0%,0%,0%,0%
YAK,129.72,60.02,-157.58,54.8,Yakutsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,100%,98%,98%,95%,95%,18%,69%,49%,67%
PPI,131.73,42.98,-154.89,36.68,Popov Island,49%,28%,0%,86%,80%,84%,49%,94%,93%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BJI,116.18,40.06,-170.23,34.44,Beijing,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BOX,38.97,58.03,114.11,54.48,Barok,0%,0%,0%,0%,71%,100%,100%,99%,100%,100%,99%,100%,100%,95%,94%,92%,99%,86%,99%,98%
MUT,121.02,14.37,-166.63,6.97,Muntinlupa,99%,92%,85%,82%,88%,62%,81%,94%,0%,29%,58%,99%,86%,66%,74%,95%,25%,0%,0%,0%
PTN,109.25,-0.05,-178.26,-8.46,Pontianak,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,74%,84%,8%,0%,0%,0%,0%,0%
WTK,112.63,-7.56,-174.84,-16.49,Watukosek,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LRM,115,-21,-172.51,-31.47,Learmonth,96%,98%,100%,97%,98%,100%,99%,99%,100%,96%,100%,99%,97%,99%,100%,100%,100%,100%,100%,100%
KAT,117.62,-33.68,-170.27,-45.72,Katanning,0%,0%,0%,98%,93%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
KTN,137.71,75.94,-157.36,70.88,Kotelnyy,22%,0%,0%,47%,68%,32%,48%,56%,11%,0%,0%,11%,31%,34%,0%,76%,25%,0%,0%,0%
CHD,147.89,70.62,-146.08,65.57,Chokurdakh,80%,94%,61%,0%,65%,0%,0%,0%,0%,52%,0%,21%,86%,34%,49%,42%,0%,0%,0%,0%
ZYK,150.78,65.75,-141.43,60.44,Zyryanka,63%,68%,46%,0%,80%,95%,57%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MGD,150.86,59.97,-139.51,54.22,Magadan,69%,59%,49%,85%,90%,89%,74%,33%,33%,24%,76%,92%,94%,97%,97%,99%,99%,100%,100%,100%
MSR,142.27,44.37,-145.22,37.64,Moshiri,96%,99%,100%,94%,97%,99%,97%,99%,87%,66%,29%,77%,81%,73%,58%,77%,54%,68%,99%,90%
ONW,141.47,38.43,-145.99,31.42,Onagawa,84%,83%,90%,84%,90%,75%,94%,65%,88%,72%,94%,72%,96%,78%,56%,0%,0%,0%,0%,0%
KAG,130.72,31.48,-156.35,24.61,Kagoshima,98%,100%,99%,98%,98%,86%,99%,59%,0%,65%,45%,100%,88%,70%,67%,49%,88%,68%,61%,95%
YMK,130.62,31.19,-156.46,24.31,Yamakawa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CBI,142.3,27.15,-145.59,19.66,Chichijima,85%,100%,97%,99%,100%,100%,0%,0%,100%,94%,99%,100%,0%,0%,0%,0%,0%,0%,0%,0%
YAP,138.5,9.3,-149.43,1.32,Yap,25%,0%,0%,0%,0%,0%,42%,68%,89%,89%,89%,79%,40%,90%,26%,39%,0%,0%,0%,0%
KOR,134.5,7.33,-153.37,-0.64,Koror,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BIK,136.05,-1.08,-151.54,-9.33,Biak,81%,96%,80%,49%,96%,18%,0%,0%,0%,0%,0%,0%,11%,21%,0%,0%,0%,0%,0%,0%
WEW,143.62,-3.55,-143.57,-11.71,Wewak,0%,0%,0%,66%,65%,44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DRW,130.9,-12.4,-156.18,-21.36,Darwin,33%,99%,66%,71%,80%,98%,100%,94%,66%,98%,95%,90%,99%,99%,99%,99%,60%,0%,0%,0%
WEP,141.88,-12.68,-144.56,-21.34,Weipa,0%,0%,0%,68%,34%,71%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BSV,139.21,-25.54,-145.98,-35.38,Birdsville,0%,0%,0%,39%,20%,0%,24%,36%,56%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DAL,151.2,-27.18,-132.27,-36.07,Dalby,0%,0%,0%,24%,60%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ADL,138.65,-34.67,-145.23,-45.51,Adelaide,0%,0%,0%,63%,64%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CPS,180.55,68.88,-121.2,65.26,Cape Schmidt,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
EWA,202,21.32,-89.27,20.97,Ewa Beach,100%,90%,99%,98%,83%,100%,99%,96%,98%,98%,100%,100%,0%,66%,22%,0%,0%,0%,0%,0%
ASA,170.7,-14.28,-113.98,-19.07,American Samoa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCQ,158.95,-54.5,-111.09,-64.39,Macquarie Island,100%,100%,100%,100%,96%,98%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%
CKA,73.6,68.5,148.91,64.67,Cape Kamenniy,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AMD,61.21,69.6,137.97,65.85,Amderma,0%,0%,0%,0%,0%,0%,41%,78%,35%,12%,39%,41%,85%,88%,58%,68%,88%,90%,0%,84%
LOP,33.08,68.25,113.08,65.02,Lop,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MBC,240.64,76.32,-81.93,81.09,Mould Bay,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
VIZ,76.54,79.3,155.6,74.45,Vieze Island,100%,97%,0%,0%,0%,0%,0%,46%,0%,0%,0%,0%,0%,0%,34%,95%,98%,88%,78%,99%
PBK,170.9,70.08,-128.94,65.81,Pebek,69%,62%,96%,56%,67%,46%,0%,41%,2%,0%,83%,94%,96%,99%,94%,98%,95%,50%,17%,91%
PGC,294.2,66.1,20.43,74.13,Pangnirtung,14%,16%,98%,25%,27%,96%,68%,50%,20%,14%,29%,81%,58%,31%,90%,78%,22%,36%,85%,28%
CY0,291.4,70.5,18.75,78.55,Clyde River,37%,85%,76%,0%,0%,0%,0%,0%,41%,0%,31%,27%,53%,13%,0%,17%,17%,37%,19%,0%
CDC,283.4,64.2,2.83,73.51,Cape Dorset,8%,14%,11%,25%,38%,42%,28%,51%,79%,61%,90%,37%,24%,84%,85%,67%,58%,88%,86%,22%
CHC,276,64.35,-9.71,74.01,Coral Harbour,34%,27%,70%,0%,0%,0%,0%,0%,0%,0%,0%,0%,34%,48%,0%,0%,0%,0%,44%,28%
GHC,264.15,68.63,-32.06,77.56,Gjoa Haven,95%,10%,81%,0%,0%,0%,0%,0%,0%,36%,47%,77%,85%,93%,80%,85%,70%,65%,0%,0%
IGC,278.2,69.3,-5.67,78.47,Igloolik,0%,65%,82%,0%,0%,0%,0%,0%,17%,0%,0%,89%,88%,41%,72%,83%,0%,57%,65%,27%
PBC,270.3,68.5,-20.62,77.76,Pelly Bay,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
RPB,273.77,66.52,-13.8,76.02,Repulse Bay,61%,22%,75%,0%,0%,0%,0%,0%,64%,12%,0%,95%,33%,65%,84%,88%,37%,43%,65%,28%
NAN,298.3,56.4,22.69,63.97,Nain,0%,23%,53%,0%,0%,0%,0%,39%,80%,70%,90%,67%,56%,0%,0%,57%,57%,41%,41%,25%
AIA,295.74,-65.25,9.6,-50.87,Faraday Islands,0%,0%,94%,100%,100%,100%,100%,100%,100%,98%,100%,100%,0%,44%,96%,79%,51%,94%,93%,97%
ASC,345.62,-7.95,56.8,-16.44,Ascension Island,99%,0%,0%,98%,100%,95%,100%,99%,100%,100%,100%,100%,100%,100%,99%,100%,99%,100%,100%,100%
VOS,106.87,-78.45,54.52,-83.54,Vostok,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,59%,91%,92%,100%,96%,90%,95%
CSY,110.53,-66.28,157.91,-80.9,Casey,99%,93%,97%,100%,100%,99%,100%,100%,36%,97%,100%,99%,91%,99%,100%,100%,100%,99%,96%,100%
CTA,146.3,-20.1,-138.89,-28.95,Charters Towers,92%,97%,100%,100%,99%,98%,98%,99%,100%,95%,98%,98%,100%,100%,99%,98%,99%,98%,100%,66%
DVS,77.97,-68.58,100.68,-74.91,Davis,99%,0%,0%,0%,0%,0%,0%,74%,94%,100%,27%,56%,0%,0%,0%,0%,0%,0%,0%,0%
GLN,262.88,49.65,-29.21,59.36,Glenlea,0%,0%,33%,99%,100%,91%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HTY,139.8,33.12,-147.69,25.93,Hatizyo,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
KDU,132.47,-12.69,-154.53,-21.65,Kakadu,92%,92%,88%,98%,100%,100%,100%,95%,100%,99%,99%,98%,100%,100%,100%,100%,96%,100%,100%,100%
KNY,130.88,31.42,-156.2,24.54,Kanoya,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
